server_id,probe_name
97,Almaty (Gcore)
152,Amsterdam (3W Infra)
79,Amsterdam (Bakker IT)
121,Amsterdam (HostHatch)
185,Amsterdam (Hyonix)
150,Amsterdam (Misaka)
149,Amsterdam (Scaleway)
207,Amsterdam (SiteFast)
81,Amsterdam (xTom)
92,Ashburn (Gcore)
148,Ashburn (Hetzner)
202,Ashburn (Hyonix)
1,Ashburn (Misaka)
226,Athens (Enahost)
145,Auckland (Zappie Host)
199,Baku (Gcore)
139,Bangkok (Scloud)
180,Beijing (Tencent Cloud)
118,Beijing (Ucloud)
211,Berlin (IONOS)
215,Berlin (IONOS)
229,Berlin (Misaka)
230,Berlin (Misaka)
219,Bogot� (Maxihost)
169,Bucharest (Gcore)
209,Changzhou (China Unicom)
181,Chengdu (Tencent Cloud)
100,Chicago (Gcore)
155,Chicago (HostHatch)
112,Chi?in?u (Gcore)
205,Dallas (Hyonix)
54,Dallas (LSN)
218,Dublin (iDrive)
173,Dublin (Misaka)
87,D�sseldorf (xTom)
151,El Marqu�s (Gcore)
204,El Segundo (Hyonix)
213,Falkenstein (Hetzner)
189,Fortaleza (Gcore)
134,Frankfurt (AkkoCloud)
119,Guangzhou (Ucloud)
12,Helsinki (Hetzner)
212,Hillsboro (Hetzner)
137,Ho Chi Minh City (Scloud)
187,Hong Kong (AperNet)
197,Hong Kong (BGPTO)
50,Hong Kong (DMIT)
115,Hong Kong (Kamatera)
90,Hong Kong (Misaka)
161,Hong Kong (Misaka)
20,Hong Kong (xTom)
36,Istanbul (Gcore)
28,Johannesburg (Misaka)
168,Kyiv (Gcore)
167,Kyiv (Misaka)
153,Lagos (Misaka)
84,Lagos (Scloud)
30,Las Vegas (BuyVM)
200,Lima (Gcore)
206,London (Hyonix)
51,London (Misaka)
102,London (xTom)
49,Los Angeles (DMIT)
40,Los Angeles (Misaka)
105,Luxembourg (Gcore)
33,Madrid (Misaka)
88,Manila (Scloud)
69,Marseille (Misaka)
188,Melbourne (AperNet)
93,Miami (Gcore)
198,Minneapolis (Gcore)
177,Moscow (Misaka)
178,Moscow (Misaka)
182,Nanjing (Tencent Cloud)
138,New Taipei City (Scloud)
85,New York (xTom)
227,Nicosia (OneProvider)
5,North Kansas City (Misaka)
214,Nuremberg (Hetzner)
6,Pittsburgh (TeraSwitch)
201,Reston (Hyonix)
171,San Jose (AkkoCloud)
220,San Jos� (Maxihost)
132,San Jose (Misaka)
183,San Jose (Misaka)
156,San Jose (xTom)
94,Santa Clara (Gcore)
221,Santiago (Maxihost)
29,S�o Paulo (Misaka)
89,Seattle (Misaka)
104,Secaucus (Gcore)
203,Secaucus (Hyonix)
3,Secaucus (Misaka)
52,Seoul (Moack)
126,Shanghai (China Telecom)
172,Shanghai (Tencent Cloud)
117,Shanghai (Ucloud)
68,Singapore (BGPTO)
122,Singapore (HostHatch)
140,Singapore (Misaka)
176,Singapore (Misaka)
32,Sofia (Melbicom)
22,Sydney (xTom)
15,Tallinn (xTom)
55,Tel Aviv (Gcore)
113,Tel Aviv (Kamatera)
196,Tokyo (BGPTO)
114,Tokyo (DMIT)
159,Tokyo (DMIT)
160,Tokyo (HostHatch)
116,Tokyo (Misaka)
158,Tokyo (Misaka)
18,Tokyo (xTom)
110,Toronto (Kamatera)
53,Toronto (Xenyth)
86,Tukwila (xTom)
14,Vienna (Alwyzon)
157,Vienna (HostHatch)
106,Warsaw (Gcore)
186,Yerevan (Gcore)
210,Zhumadian (China Mobile)
184,Zurich (HostHatch)
109,Zurich (Misaka)
